source_id,source_type,publisher,title,date_or_year,url,accessed,key_use,evidence_grade
S01,official census dataset,"Office of the Registrar General & Census Commissioner, India","C-17: Population by bilingualism and trilingualism, India",2011,https://www.censusindia.gov.in/nada/index.php/catalog/10262,2026-08-18,"Authoritative India table, universe, and workbook",A
S02,official census dataset,"Office of the Registrar General & Census Commissioner, India","C-16: Population by mother tongue, India",2011,https://censusindia.gov.in/nada/index.php/catalog/10191,2026-08-18,"Confirms mother-tongue table and English category",A
S03,official census methodology,"Office of the Registrar General & Census Commissioner, India","Circular No. 39: Mother Tongue and Other Languages Known",2014,https://censusindia.gov.in/nada/index.php/catalog/43661,2026-08-18,"Identifies household questions 10 and 11",A
S04,official current-status page,"Office of the Registrar General & Census Commissioner, India","Census Division",2026,https://censusindia.gov.in/census.website/en/node/378,2026-08-18,"Confirms last census was 2011 and next census is 2027",A
S05,official survey table,"U.S. Census Bureau","S1601: Language Spoken at Home, 2024 ACS 1-Year Estimates",2024,https://data.census.gov/table/ACSST1Y2024.S1601,2026-08-18,"U.S. population 5+, English-only, and English-only-or-very-well counts",A
S06,official census bulletin,"Office for National Statistics","Language, England and Wales: Census 2021",2021,https://www.ons.gov.uk/peoplepopulationandcommunity/culturalidentity/language/bulletins/languageenglandandwales/census2021,2026-08-18,"Main-language and English-proficiency counts and definitions",A
S07,official census methodology,"Statistics Canada","2021 Census of Population questionnaires: Language",2021,https://www12.statcan.gc.ca/census-recensement/2021/ref/98-500/003/98-500-x2021003-eng.cfm,2026-08-18,"Canadian language-question methodology",A
S08,official census table,"Statistics Canada","Knowledge of languages by age and gender",2021,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810021601,2026-08-18,"English knowledge count for Canada",A
S09,official census dictionary,"Australian Bureau of Statistics","Language used at home (LANP)",2021,https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/cultural-diversity/language-used-home-lanp,2026-08-18,"Defines English-only-at-home variable and its limits",A
S10,official census profile,"Australian Bureau of Statistics","2021 Census All persons QuickStats",2021,https://www.abs.gov.au/census/find-census-data/quickstats/2021/1,2026-08-18,"Australia English-only-at-home count",A
S11,official analytical article,"Australian Bureau of Statistics","Cultural diversity of Australia",2021,https://www.abs.gov.au/articles/cultural-diversity-australia,2026-08-18,"Non-English home language and low-proficiency context",A
S12,methodology,"EF Education First","About EF English Proficiency Index",2025,https://www.ef.com/wwen/epi/about-epi/,2026-08-18,"Explains self-selected sample and why EPI is not a headcount",B
S13,official census table,"Pakistan Bureau of Statistics","Table 11: Population by mother tongue",2023,https://www.pbs.gov.pk/wp-content/uploads/census_tables/tables/table_11_national.pdf,2026-08-18,"Shows Pakistan official table measures mother tongue, not English ability",A
S14,official census report,"Pakistan Bureau of Statistics","7th Population & Housing Census 2023: National Census Report",2023,https://www.pbs.gov.pk/sites/default/files/population/2023/reports/National%20Census%20Report-2023.pdf,2026-08-18,"Confirms published national mother-tongue framework",A
S15,official household survey,"Nigeria National Bureau of Statistics","General Household Survey Panel 2023-2024 data dictionary",2024,https://microdata.nigerianstat.gov.ng/index.php/catalog/82/data-dictionary/F57,2026-08-18,"Demonstrates available language variables are not a C-17 equivalent",A
S16,official census release,"Philippine Statistics Authority","Tagalog is the Most Widely Spoken Language at Home",2020,https://psa.gov.ph/statistics/population-and-housing/node/1684041577,2026-08-18,"Philippines home-language measure",A
S17,official census release,"Philippine Statistics Authority","Literacy Rate and Educational Attainment, 2020 Census",2020,https://psa.gov.ph/statistics/population-and-housing/node/1684059980,2026-08-18,"Shows literacy is measured in any language, not English ability",A
S18,proficiency index,"EF Education First","India: EF English Proficiency Index",2025,https://www.ef.com/ca/epi/regions/asia/india/,2026-08-18,"Current proficiency score and rank; not population count",B
S19,research paper preprint,arXiv,"Svarah: Evaluating English ASR Systems on Indian Accents",2023,https://arxiv.org/abs/2305.15760,2026-08-18,"Example of academic repetition of the 130 million/second-largest claim",B
S20,government policy annexure,"Government of India","Annexure III",2024,https://cdnbbsr.s3waas.gov.in/s395192c98732387165bf8e396c0f2dad2/uploads/2024/09/202409201765923745.pdf,2026-08-18,"Example of government-linked repetition citing a magazine rather than harmonized statistics",B
S21,official announcement,"Press Information Bureau, Government of India","Census-2027 digital tools and mascots launch",2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2235470&lang=1&reg=20,2026-08-18,"Confirms Census 2027 is underway and results are not yet available",A
